sentence	change_type	ambig_status
The man saw the woman with the telescope.	original	1
The woman saw the man with the telescope.	inverse_object	1
The man saw the woman with the microscope.	pp_synonym	1
The man saw the woman with the monoscope.	pp_synonym	1
The man saw the woman with the spyglass.	pp_synonym	1
The man saw the woman with the binoculars.	pp_synonym	1
The man saw the woman with the camera.	pp_synonym	1
The man saw the woman with the phone.	pp_synonym	1
The man saw the woman with the polaroid.	pp_synonym	1
The man saw the woman with the glasses.	pp_synonym	1
The man saw the woman with the eyepiece.	pp_synonym	1
The man saw the woman with the monocular.	pp_synonym	1
The scientist saw the woman with the telescope.	subj_synonym	1
The guy saw the woman with the telescope.	subj_synonym	1
John saw the woman with the telescope.	subj_synonym	1
Alex saw the woman with the telescope	subj_synonym	1
Mary saw the woman with the telescope.	subj_synonym	1
Jenny saw the woman with the telescope.	subj_synonym	1
The nurse saw the woman with the telescope.	subj_synonym	1
The detective saw the woman with the telescope.	subj_synonym	1
The child saw the woman with the telescope.	subj_synonym	1
The student saw the woman with the telescope.	subj_synonym	1
The teacher saw the woman with the telescope.	subj_synonym	1
The woman saw the woman with the telescope.	subj_synonym	1
The girl saw the woman with the telescope.	subj_synonym	1
The boy saw the woman with the telescope.	subj_synonym	1
The mother saw the woman with the telescope.	subj_synonym	1
The father saw the woman with the telescope.	subj_synonym	1
The artist saw the woman with the telescope.	subj_synonym	1
The explorer saw the woman with the telescope.	subj_synonym	1
The king saw the woman with the telescope.	subj_synonym	1
The queen saw the woman with the telescope.	subj_synonym	1
The man saw the student with the telescope.	obj_synonym	1
The man saw the guy with the telescope.	obj_synonym	1
The man saw John with the telescope.	obj_synonym	1
The man saw Alex with the telescope.	obj_synonym	1
The man saw Mary with the telescope.	obj_synonym	1
The man saw Jenny with the telescope.	obj_synonym	1
The man saw the nurse with the telescope.	obj_synonym	1
The man saw the detective with the telescope.	obj_synonym	1
The man saw the scientist with the telescope.	obj_synonym	1
The man saw the child with the telescope.	obj_synonym	1
The man saw the teacher with the telescope.	obj_synonym	1
The man saw the man with the telescope.	obj_synonym	1
The man saw the girl with the telescope.	obj_synonym	1
The man saw the boy with the telescope.	obj_synonym	1
The man saw the mother with the telescope.	obj_synonym	1
The man saw the father with the telescope.	obj_synonym	1
The man saw the king with the telescope.	obj_synonym	1
The man saw the queen with the telescope.	obj_synonym	1
