sentence	change_type	ambig_status
Your boss is a funny man.	original	1
A funny man is your boss.	inverse	1
Boss funny is man your.	impossible	0
Your boss is a funny can.	rhyme_1	0
Your boss is a funky man.	rhyme_2	1
Your floss is a funny man.	rhyme_3	0
Your floss is a sunny can.	rhyme_4	0
Your principal is a funny man.	synonym_1	1
Your boss is a humorous man.	synonym_2	0
Your boss is a funny person.	synonym_3	1
Your chief is a humorous person.	synonym_4	0
Your boss is a happy man.	random_1	0
Your rainbow is a funny man.	random_2	0
Your boss is a five man.	random_3	0
Your boss is a bunny van.	random_4	0
The speaker is at the front of the room.	original	1
At the front of the room is the speaker.	inverse	1
Of the room is the speaker at the front.	impossible	0
The speaker is in front of the broom.	rhyme_1	1
The reader is at the front of the room.	rhyme_2	0
The speaker is at the front of the coomb.	rhyme_3	1
The reader is at the front of the bloom.	rhyme_4	1
The speaker is at the front of the chamber.	synonym_1	1
The loudspeaker is at the front of the room.	synonym_2	0
The lector is at the front of the room.	synonym_3	0
The lecturer is at the front of the chamber.	synonym_4	0
The key is at the front of the room.	random_1	0
The soda is at the front of the room.	random_2	0
The telescope is at the front of the room.	random_3	0
The speaker is at the front of the scene.	random_4	1
He's not very well off.	original	1
Not very well off he is.	inverse	1
Very not he well off is.	impossible	0
He's not very cell off.	rhyme_1	0
He is not verry tell off.	rhyme_2	0
He is not verry bell off.	rhyme_3	0
He is not verry fell off.	rhyme_4	0
The man is not very well off.	synonym_1	1
He is not verry wealthy.	synonym_2	0
He is not verry rich.	synonym_3	0
She's not very well off.	synonym_4	1
He's not very telescope off.	random_1	0
He's not very elephant off.	random_2	0
He's not very pyjamas off.	random_3	0
He's not very cat food.	random_4	0
John and Anna are married.	original	1
Anna and John are married.	inverse	1
Married John are Anna.	impossible	0
Bonn and Hannah are married.	rhyme_1	1
Ron and Anna are married.	rhyme_2	1
John and Anna are carried.	rhyme_3	0
John and Anna are varied.	rhyme_4	0
The man and the woman are married.	synonym_1	1
Stephan and Daniel are married.	synonym_2	1
John and Anna are engaged.	synonym_3	1
Ron and Myrthe are engaged.	synonym_4	1
John and Anna are happy.	random_1	0
John and Anna are babies.	random_2	0
Telescope and Anna are married.	random_3	0
John and telescope are married.	random_4	0
It is my belief that the earth is round.	original	1
That the earth is round is my belief.	inverse	1
Is earth my belief that round the.	impossible	0
It is my belief that the birth is sound.	rhyme_1	1
It is my leaf that the earth is sound.	rhyme_2	0
It is my grief that the earth is round.	rhyme_3	0
It is my thief that the earth is bound.	rhyme_4	0
I have the opinion that the earth is round.	synonym_1	1
I think that the earth is round.	synonym_2	0
I am certain that the earth is round.	synonym_3	0
It is my belief that the planet is round.	synonym_4	1
It is my happiness that the earth is round.	random_1	0
