text	is_ambiguous	disambiguations
The man saw the woman with the telescope.	yes	['The man saw the woman using a telescope, The man saw a woman who was looking through a telescope']
The woman saw the man with the telescope.	yes	['The woman saw a man using a telescope, The woman saw a man who had a telescope.']
Man with the saw telescope woman the with.	yes	['Man is using a telescope to look at the woman, Man is giving a saw to the woman with the telescope.']
The man saw the woman with the microscope.	yes	['The man saw the woman using a microscope, The man saw a woman who was looking through a microscope']
The man saw the woman with the monoscope.	yes	['The man saw a woman who was using a monoscope, The man saw a woman with a monoscope, which is a device that helps people with vision impairments see the world.']
The man saw the woman with the spyglass.	yes	['The man saw a woman who was using a spyglass, The man saw a woman with a spyglass that he owned or possessed.']
The man saw the woman with the binoculars.	yes	['The man saw the woman who was using the binoculars, The man saw a woman with the binoculars that the woman was using']
The man saw the woman with the camera.	yes	['The man saw the woman who was holding the camera, The man saw the woman with the camera equipment']
The man saw the woman with the phone.	yes	['The man saw the woman who was holding the phone, The man saw the woman with a phone that the man saw her with']
The man saw the woman with the polaroid.	yes	['The man took a photo of the woman with a Polaroid camera, The man saw a woman who was holding a Polaroid picture.']
The man saw the woman with the glasses.	yes	['The man saw the woman wearing glasses, The man saw a woman who was with someone wearing glasses']
The man saw the woman with the eyepiece.	yes	['The man saw the woman who was looking through the eyepiece, The man saw the woman with an eyepiece (e.g. a pair of glasses or a magnifying glass) on her.']
The man saw the woman with the monocular.	yes	['The man saw the woman who was using a monocular, The man saw the woman with a person who was using a monocular']
The man saw the woman with the dress.	yes	['The man saw the woman who was wearing the dress, The woman was wearing the dress that the man saw']
The man saw the woman with the book.	yes	['The man saw the woman who was holding the book, The man saw the woman with the book, she was holding.']
The man saw the woman with the desk.	yes	['The man saw the woman who was sitting at the desk, The man saw the woman with a desk nearby her.']
The man saw the woman with the curtains.	yes	['The man saw the woman who was holding the curtains, The man saw the woman and the curtains were open.']
The man saw the woman with the box.	yes	['The man saw a woman who was holding a box, The man saw a woman with a box that he owned or was responsible for.']
The man saw the woman with the present.	yes	['The man saw the woman who was giving the present, The man saw the woman holding the present']
The man saw the woman with the dophin.	yes	['The man saw a woman with a dolphin, The man saw a woman who was with a dolphin named Dophin']
The man saw the woman with the suitcase.	yes	['The man saw the woman who was carrying the suitcase, The man saw the woman and the suitcase together']
The man saw the woman with the gyroscope.	yes	['The man saw the woman who was holding a gyroscope, The man saw the woman with a gyroscope']
The man saw the woman with the horoscope.	yes	['The man saw the woman who had a horoscope, The man saw the woman with a horoscope (e.g. a star chart) in her possession or nearby.']
The scientist saw the woman with the telescope.	yes	['The scientist saw a woman using a telescope, The scientist saw a woman who was looking through a telescope']
The guy saw the woman with the telescope.	yes	['The guy saw the woman who was using the telescope, The guy saw the woman with a telescope that the guy was holding']
John saw the woman with the telescope.	yes	['John saw the woman who was using the telescope, John saw a woman with a telescope that he was holding or looking through']
Alex saw the woman with the telescope	yes	['Alex saw a woman who was using a telescope, Alex saw a woman with a telescope that he was holding or using.']
Mary saw the woman with the telescope.	yes	['Mary saw the woman with the telescope, Mary saw a woman who was using the telescope']
Jenny saw the woman with the telescope.	yes	['Jenny saw a woman who was using a telescope, Jenny saw a woman with a telescope, she is']
The nurse saw the woman with the telescope.	yes	['The nurse saw the woman who was using the telescope, The nurse saw the woman with a telescope to look at something else.']
The detective saw the woman with the telescope.	yes	['The detective is using a telescope to look at the woman, The woman is using a telescope to look at something else.']
The child saw the woman with the telescope.	yes	['The child saw a woman who was using a telescope, The child saw a woman who had a telescope.']
The student saw the woman with the telescope.	yes	['The student saw a woman who was using a telescope, The student saw a woman who was with someone else who was using a telescope']
The teacher saw the woman with the telescope.	yes	['The teacher saw the woman who was using the telescope, The teacher saw a woman with a telescope that the teacher was using']
The woman saw the woman with the telescope.	yes	['The woman saw a woman who was using a telescope, The woman saw a woman who was looking through a telescope with her.']
The girl saw the woman with the telescope.	yes	['The girl saw the woman using a telescope, The girl saw a woman who was looking through a telescope']
The boy saw the woman with the telescope.	yes	['The boy saw a woman who was using a telescope, The boy saw a woman with a telescope that the boy himself was using']
The mother saw the woman with the telescope.	yes	['The mother saw the woman who was using the telescope, The mother saw a woman with a telescope.']
The father saw the woman with the telescope.	yes	['The father saw a woman who was using a telescope, The father saw a woman with a telescope that the father owned or was in his possession']
The artist saw the woman with the telescope.	yes	['The artist saw a woman who was looking through a telescope, The artist saw a woman with a telescope that the artist had']
The explorer saw the woman with the telescope.	yes	['The explorer is using the telescope to look at the woman, The woman is holding or using the telescope.']
The king saw the woman with the telescope.	yes	['The king saw the woman who was using the telescope, The king saw a woman with a telescope that the woman was using']
The queen saw the woman with the telescope.	yes	['The queen saw the woman who was using the telescope, The queen saw a woman with a telescope that the queen saw.']
The weather saw the woman with the telescope.	yes	['The weather observed the woman using a telescope, The weather was the woman who used a telescope']
The window saw the woman with the telescope.	yes	['The window has a telescope and saw a woman, The woman is using a telescope to see something outside the window']
The ocean saw the woman with the telescope.	yes	['The ocean saw a woman using a telescope, The ocean saw a woman who was being looked at with a telescope']
The alike saw the woman with the telescope.	yes	['The alike saw the woman with a telescope, The alike saw a woman with a telescope']
The plant saw the woman with the telescope.	yes	['The plant saw the woman using a telescope, The plant saw a woman who was looking through a telescope']
The break saw the woman with the telescope.	yes	['The break saw the woman with the telescope, The break in the wall saw the woman with the telescope']
The vase saw the woman with the telescope.	yes	['The vase is being used as a telescope to see the woman, The woman is using a telescope to look at something and the vase is just a vase.']
The blue saw the woman with the telescope.	yes	['The blue object (e.g. a color) saw the woman with the telescope, The woman named Blue saw the woman with the telescope']
The orange saw the woman with the telescope.	yes	['The orange is using a telescope to look at the woman, The woman is holding a telescope and the orange is describing her.']
The telescope saw the man with the woman.	yes	['The telescope saw a man who was with a woman, The woman was being seen by the man with a telescope']
The glass saw the woman with the telescope.	yes	['The glass saw the woman using the telescope, The glass saw a woman who was wearing a telescope-shaped dress or accessory.']
The mug saw the woman with the telescope.	yes	['The mug saw the woman who was using the telescope, The mug saw a woman with a telescope that the woman was holding or using.']
The popcorn saw the woman with the telescope.	yes	['The popcorn is being used to see the woman with the telescope, The woman is holding the telescope and the popcorn is referring to her.']
The newspaper saw the woman with the telescope.	yes	['The newspaper saw the woman who was using the telescope, The newspaper saw the woman with a telescope that it saw.']
The chair saw the woman with the telescope.	yes	['The chair is using a telescope to see the woman, The chair is seeing a woman who is using a telescope.']
The can saw the woman with the telescope.	yes	['The can saw the woman with the telescope, The can saw the woman who was using the telescope']
The ran saw the woman with the telescope.	yes	"[""The person who is a ran (a type of bird) saw a woman with a telescope, The ran (past tense of the verb 'run') saw a woman with a telescope""]"
